Name,Subtitles,season_episode,ners
will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",1,"[set(), set(), set(), {'the'}]"
will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",1,"[set(), set(), set(), set(), set(), set(), set(), set()]"
eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.",1,[{'will'}]
will,"Forgive me, lord.",1,[set()]
eddard stark,"In the name of Robert of the House Baratheon, first of his name …",1,"[{'baratheon', 'robert'}]"
jon snow,Don't look away.,1,[set()]
eddard stark,King of the Andals and the First Men …,1,[{'king'}]
jon snow,Father will know if you do.,1,[set()]
eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",1,"[{'stark', 'eddard'}]"
jon snow,You did well.,1,[set()]
eddard stark,You understand why I did it?,1,[set()]
bran stark,Jon said he was a deserter.,1,[{'jon'}]
eddard stark,But do you understand why I had to kill him?,1,[set()]
bran stark,Our way is the old way?,1,[set()]
eddard stark,The man who passes the sentence should swing the sword.,1,[set()]
bran stark,Is it true he saw the White Walkers?,1,[set()]
eddard stark,The White Walkers have been gone for thousands of years.,1,[{'the'}]
bran stark,So he was lying?,1,[set()]
eddard stark,A madman sees what he sees.,1,[set()]
jon snow,What is it?,1,[set()]
theon greyjoy,Mountain lion?,1,[set()]
eddard stark,There are no mountain lions in these woods.,1,[set()]
theon greyjoy,It's a freak.,1,[set()]
eddard stark,It's a direwolf.,1,[set()]
eddard stark,Tough old beast.,1,[set()]
robb stark,There are no direwolves south of the Wall.,1,[set()]
jon snow,Now there are five.,1,[set()]
jon snow,You want to hold it?,1,[set()]
bran stark,Where will they go? Their mother's dead.,1,"[set(), set()]"
cassel,They don't belong down here.,1,[set()]
eddard stark,Better a quick death. They won't last without their mother.,1,"[set(), set()]"
theon greyjoy,Right. Give it here.,1,"[set(), set()]"
bran stark,NO!,1,[set()]
robb stark,Put away your blade.,1,[set()]
theon greyjoy,"I take orders from your father, not you.",1,[set()]
bran stark,"Please, father!",1,[set()]
eddard stark,"I'm sorry, Bran.",1,[{'bran'}]
jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,1,"[{'stark'}, set(), {'stark'}, set(), set()]"
eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",1,"[set(), set(), set()]"
bran stark,What about you?,1,[set()]
jon snow,I'm not a Stark. Get on.,1,"[{'stark'}, set()]"
robb stark,What is it?,1,[set()]
theon greyjoy,"The runt of the litter. That one's yours, Snow.",1,"[set(), {'snow'}]"
jaime lannister,"As your brother, I feel it's my duty to warn you",1,[set()]
cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",1,"[set(), set(), set(), set()]"
jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",1,"[set(), set(), set()]"
cersei lannister,What if Jon Arryn told someone?,1,[{'jon'}]
jaime lannister,But who would he tell?,1,[set()]
cersei lannister,My husband.,1,[set()]
jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",1,"[set(), {'jon'}, {'robert'}, set(), set()]"
cersei lannister,You should be the Hand of the king.,1,[set()]
jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",1,"[set(), set()]"
catelyn stark,All these years and I still feel like an outsider when I come here.,1,[set()]
eddard stark,You have five northern children. You're not an outsider.,1,"[set(), set()]"
catelyn stark,I wonder if the old gods agree.,1,[set()]
eddard stark,It's your gods with all the rules.,1,[set()]
catelyn stark,"I am so sorry, my love.",1,[set()]
eddard stark,Tell me.,1,[set()]
catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,1,"[set(), {'jon'}, set(), set()]"
eddard stark,Your sister. The boy …,1,"[set(), set()]"
catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,1,"[set(), set(), set(), set(), set()]"
eddard stark,"He's coming this far North, there's only one thing he's after.",1,[set()]
catelyn stark,"You can always say no, Ned.",1,[{'ned'}]
catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,1,"[{'tyrion'}, set()]"
maester luwin,I'm told he drinks all night.,1,[set()]
catelyn stark,How much could he possibly drink? A man of his … stature.,1,"[set(), set()]"
luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,1,"[set(), set()]"
catelyn stark,"In any case, candles.",1,[set()]
jon snow,Why's your mother so dead-set on us getting pretty for the king?,1,[set()]
theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",1,"[set(), set()]"
robb stark,I hear the prince is a right royal prick.,1,[set()]
theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,1,[set()]
robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",1,"[{'tommy'}, set()]"
catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",1,"[set(), {'bran', 'brandon'}]"
bran stark,I saw the king! He's got hundreds of people!,1,"[set(), set()]"
catelyn stark,How many times have I told you,1,[set()]
bran stark,But he's coming right now! Down our road!,1,"[set(), set()]"
catelyn stark,I want you to promise me,1,[set()]
bran stark,I promise.,1,[set()]
catelyn stark,D'you know what?,1,[set()]
bran stark,What?,1,[set()]
catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,1,"[set(), set(), set()]"
catelyn stark,"Where's Arya? Sansa, where's your sister?",1,"[{'arya'}, {'sansa'}]"
eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",1,"[set(), set(), set()]"
arya stark,Move!,1,[set()]
eddard stark,Your Grace.,1,[set()]
robert baratheon,You've got fat.,1,[set()]
robert baratheon,Cat!,1,[set()]
catelyn stark,Your Grace.,1,[set()]
robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,1,"[set(), set(), set()]"
eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.",1,"[set(), set()]"
arya stark,Where's the Imp?,1,[{'imp'}]
sansa stark,Will you shut up?,1,[set()]
robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",1,"[set(), {'robb'}, set(), set()]"
arya stark,Arya.,1,[{'arya'}]
robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,1,"[set(), set(), set()]"
arya stark,That's Jaime Lannister. The queen's twin brother.,1,"[{'jaime'}, set()]"
sansa stark,Would you please shut up.,1,[set()]
eddard stark,My queen.,1,[set()]
catelyn stark,My queen.,1,[set()]
robert baratheon,Take me to your crypt. I want to pay my respects.,1,"[set(), set()]"
cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.",1,"[set(), set()]"
robert baratheon,Ned.,1,[{'ned'}]
cersei lannister,Where is our brother? Go find the little beast.,1,"[set(), set()]"
eddard stark,Tell me about Jon Arryn.,1,[{'jon'}]
robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",1,"[set(), set()]"
eddard stark,We both did.,1,[set()]
robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",1,"[set(), set(), set()]"
eddard stark,Aye.,1,[set()]
robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",1,"[set(), set(), {'ned'}, set(), set(), {'the', 'eddard'}]"
eddard stark,I'm not worthy of the honor.,1,[set()]
robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",1,"[set(), set(), {'ned'}, set(), set(), set(), set(), set(), set()]"
tyrion lannister,Mmh. It is true what they say about the Northern girls.,1,"[set(), set()]"
ros,Did you hear the king's in Winterfell?,1,[set()]
tyrion lannister,I did hear something about that.,1,[set()]
ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,1,"[set(), set(), set()]"
tyrion lannister,And the other brother?,1,[set()]
ros,The queen has two brothers?,1,[set()]
tyrion lannister,There's the pretty one. And there's the clever one.,1,"[set(), set()]"
ros,I hear they call him the Imp.,1,[set()]
tyrion lannister,I hear he hates that nickname.,1,[set()]
ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,1,"[set(), set(), set()]"
tyrion lannister,Clever girl.,1,[set()]
ros,"We've been expecting you, Lord Tyrion.",1,[{'tyrion'}]
tyrion lannister,Have you?,1,[set()]
tyrion lannister,The gods gave me one blessing.,1,[set()]
jaime lannister,Don't get up.,1,[set()]
ros,M'lord.,1,[set()]
tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",1,[set()]
jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.",1,"[set(), set()]"
tyrion lannister,"She has odd cravings, our sister.",1,[set()]
jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",1,"[set(), set(), set()]"
tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",1,"[set(), set()]"
jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",1,"[set(), set(), set()]"
tyrion lannister,Close the door!,1,[set()]
robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,1,"[set(), set()]"
eddard stark,She was my sister. This is where she belongs.,1,"[set(), set()]"
robert baratheon,She belonged with me.,1,[set()]
robert baratheon,"In my dreams, I kill him every night.",1,[set()]
eddard stark,"It's done, Your Grace. The Targaryens are gone.",1,"[set(), {'targaryens'}]"
robert baratheon,Not all of them.,1,[set()]
viserys,Daenerys!,1,[{'daenerys'}]
viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,1,"[{'daenerys'}, set(), {'illyrio'}, set(), set(), set(), set(), set()]"
daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,1,[set()]
viserys,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",1,"[{'illyrio'}, set(), set(), set(), set(), set(), set(), set()]"
daenerys targaryen,No.,1,[set()]
viserys,"When they write the history of my reign, sweet sister, they will say it began today.",1,[set()]
maid,"It's too hot, my lady.",1,[set()]
viserys,Where is he?,1,[set()]
illyrio,The Dothraki are not known for their punctuality.,1,[set()]
illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",1,"[set(), {'targaryen'}, set(), {'daenerys', 'targaryen'}]"
viserys,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",1,"[set(), {'dothraki'}, {'khal'}, set(), set()]"
illyrio,"Come forward, my dear.",1,[set()]
viserys,Where's he going?,1,[set()]
illyrio,The ceremony is over.,1,[set()]
viserys,But he didn't say anything. Did he like her?,1,"[set(), set()]"
illyrio,"Trust me, Your Grace. If he didn't like her, we'd know.",1,"[set(), set()]"
illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,1,"[set(), set(), set(), set()]"
viserys,When will they be married?,1,[set()]
illyrio,Soon. The Dothraki never stay still for long.,1,"[set(), set()]"
viserys,Is it true they lie with their horses?,1,[set()]
illyrio,I wouldn't ask Khal Drogo.,1,[{'khal'}]
viserys,Do you take me for a fool?,1,[set()]
illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,1,"[set(), set(), set()]"
viserys,I know how to play a man like Drogo. I give him a queen and he gives me an army.,1,"[{'drogo'}, set()]"
daenerys targaryen,I don't want to be his queen. I want to go home.,1,"[set(), set()]"
viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",1,"[set(), set(), set()]"
daenerys targaryen,I don't know.,1,[set()]
viserys,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",1,"[set(), {'khal'}, set()]"
sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?,1,"[{'joffrey'}, set()]"
catelyn stark,Then he is the stupidest prince that ever lived.,1,[set()]
sansa stark,He's so handsome.,1,[set()]
sansa stark,When would we be married? Soon or do we have to wait?,1,"[set(), set()]"
catelyn stark,Hush now. Your father hasn't even said yes.,1,"[set(), set()]"
sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.,1,"[set(), set()]"
catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.,1,"[set(), set(), set()]"
sansa stark,You left your home to come here. And I'd be queen someday. Please make father say yes.,1,"[set(), set(), set()]"
catelyn stark,Sansa…,1,[{'sansa'}]
sansa stark,"Please, please. It's the only thing I ever wanted.",1,"[set(), set()]"
benjen,Is he dead yet?,1,[set()]
jon snow,Uncle Benjen!,1,[{'benjen'}]
benjen,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,1,"[set(), set(), set(), set()]"
jon snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,1,[{'stark'}]
benjen,"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",1,"[set(), set()]"
jon snow,So take me with you when you go back.,1,[set()]
benjen,Jon…,1,[{'jon'}]
jon snow,"Father will let me if you ask him, I know he will.",1,[set()]
benjen,The Wall isn't going anywhere.,1,[set()]
jon snow,I'm ready to swear your oath.,1,[set()]
benjen,You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,1,"[set(), set(), set()]"
jon snow,I don't care about that.,1,[set()]
benjen,"You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later.",1,"[set(), set(), set(), set()]"
tyrion lannister,Your uncle's in the Night's Watch.,1,[set()]
jon snow,What're you doing back there?,1,[set()]
tyrion lannister,Preparing for a night with your family. I've always wanted to see the Wall.,1,"[set(), set()]"
jon snow,You're Tyrion Lannister. The queen's brother?,1,"[{'tyrion'}, set()]"
tyrion lannister,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?",1,"[set(), {'ned'}]"
tyrion lannister,"Did I offend you? Sorry. You are the bastard, though.",1,"[set(), set(), set()]"
jon snow,Lord Eddard Stark is my father.,1,[{'eddard'}]
tyrion lannister,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",1,"[{'stark'}, set(), set(), set(), set(), set(), set()]"
jon snow,What the hell do you know about being a bastard?,1,[set()]
tyrion lannister,All dwarves are bastards in their fathers' eyes.,1,[set()]
benjen,You at a feast -- It's like a bear in a trap.,1,[set()]
eddard stark,The boy I beheaded. Did you know him?,1,"[set(), set()]"
benjen,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger.",1,"[set(), set(), {'ned'}, {'ranger'}]"
eddard stark,He was talking madness. Said the Walkers slaughtered his friends.,1,"[set(), {'walkers'}]"
benjen,The two he was with are still missing.,1,[set()]
eddard stark,A wildling ambush.,1,[set()]
benjen,Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.,1,"[set(), set(), set(), set(), set()]"
eddard stark,Winter is coming.,1,[set()]
robb stark,Uncle Benjen.,1,[{'benjen'}]
benjen,Robb boy. How are ye?,1,"[{'robb'}, set()]"
robb stark,I'm good.,1,[set()]
catelyn stark,"Is this your first time in the North, Your Grace?",1,[{'your'}]
cersei lannister,Yes. Lovely country.,1,"[set(), set()]"
catelyn stark,"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time.",1,"[set(), {'ned'}]"
cersei lannister,"Hello, little dove. But you are a beauty. How old are you?",1,"[set(), set(), set()]"
sansa stark,"Thirteen, Your Grace.",1,[set()]
cersei lannister,You're tall. Still growing?,1,"[set(), set()]"
sansa stark,"I think so, Your Grace.",1,[{'your'}]
cersei lannister,And have you bled yet?,1,[set()]
sansa stark,"No, Your Grace.",1,[set()]
cersei lannister,And your dress. Did you make it?,1,"[set(), set()]"
cersei lannister,Such talent. You must make something for me.,1,"[set(), set()]"
cersei lannister,I hear we might share a grandchild someday.,1,[set()]
catelyn stark,I hear the same.,1,[set()]
cersei lannister,Your daughter will do well in the capital. Such a beauty shouldn't stay hidden up here forever.,1,"[set(), set()]"
eddard stark,Your pardon.,1,[set()]
jaime lannister,I hear we might be neighbors soon. I hope it's true.,1,"[set(), set()]"
eddard stark,"Yes, the king has honored me with his offer.",1,[set()]
jaime lannister,"I'm sure we'll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale.",1,"[set(), set(), set()]"
eddard stark,I don't fight in tournaments.,1,[set()]
jaime lannister,No? Getting a little old for it?,1,"[set(), set()]"
eddard stark,"I don't fight in tournaments because when I fight a man for real, I don't want him to know what I can do.",1,[set()]
jaime lannister,Well said.,1,[set()]
sansa stark,Arya!,1,[{'arya'}]
robb stark,Time for bed.,1,[set()]
eddard stark,"I'm a Northman. I belong here with you, not down south in that rat's nest they call a capital.",1,"[set(), set()]"
catelyn stark,I won't let him take you.,1,[set()]
eddard stark,The king takes what he wants. That's why he's king.,1,"[set(), set()]"
catelyn stark,"I'll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.'",1,"[set(), set()]"
eddard stark,How did he get so fat?,1,[set()]
catelyn stark,He only stops eating when it's time for a drink.,1,[set()]
a voice,"It's Maester Luwin, my lord.",1,[{'luwin'}]
eddard stark,Send him in.,1,[set()]
luwin,"Pardon, my lord, my lady. A rider in the night from your sister.",1,"[set(), set()]"
eddard stark,Stay.,1,[set()]
catelyn stark,This was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.,1,"[{'eyrie'}, {'eyrie'}, set()]"
eddard stark,What news?,1,[set()]
catelyn stark,She's fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.,1,"[set(), {'jon'}, {'lannisters'}, set()]"
eddard stark,"She's fresh widowed, Cat. She doesn't know what she's saying.",1,"[{'cat'}, set()]"
catelyn stark,"Lysa's head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?",1,"[{'lysa'}, set()]"
luwin,"If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?",1,[set()]
catelyn stark,They murdered the last Hand. Now you want Ned to take the job.,1,"[{'hand'}, {'ned'}]"
luwin,"The king rode for a month to ask Lord Stark's help. He's the only one he trusts. You swore the king an oath, my lord.",1,"[{'stark'}, set(), set()]"
catelyn stark,He spent half his life fighting Robert's wars. He owes him nothing. Your father and brother rode south once on a king's demand.,1,"[{'robert'}, set(), set()]"
luwin,A different time. Different king.,1,"[set(), set()]"
viserys,When do I meet with the Khal? We need to begin planning the invasion.,1,"[{'khal'}, set()]"
illyrio,"If Khal Drogo has promised you a crown, you shall have it.",1,[{'khal'}]
viserys,When?,1,[set()]
illyrio,When their omens favor war.,1,[set()]
viserys,I piss on Dothraki omens. I waited 17 years to get my throne back.,1,"[{'dothraki'}, set()]"
illyrio,A Dothraki wedding without at least three deaths is considered a dull affair.,1,[{'dothraki'}]
jorah mormont,A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.,1,"[set(), set()]"
daenerys targaryen,"Thank you, ser. Are you from my country?",1,"[set(), set()]"
jorah mormont,"Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king.",1,"[{'ser'}, set(), set()]"
illyrio,"Dragons' eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful.",1,"[{'daenerys'}, set(), set()]"
daenerys targaryen,"Thank you, Magister.",1,[set()]
daenerys targaryen,"She's beautiful. … Ser Jorah, I don't know how to say ‘thank you' in Dothraki.",1,"[set(), {'ser'}]"
jorah mormont,There is no word for ‘thank you' in Dothraki.,1,[set()]
viserys,Make him happy.,1,[set()]
khal drogo,No.,1,[set()]
daenerys targaryen,Do you know the Common Tongue?,1,[set()]
daenerys targaryen,Is ‘no' the only word that you know?,1,[set()]
sandor clegane,"Rough night, Imp?",1,[{'imp'}]
tyrion lannister,"If I get through this without squirting from one end or the other, it will be a miracle.",1,[set()]
sandor clegane,I didn't pick you for a hunter.,1,[set()]
tyrion lannister,The greatest in the land. My spear never misses.,1,"[set(), set()]"
sandor clegane,It's not hunting if you pay for it.,1,[set()]
robert baratheon,Are you as good with a spear as you used to be?,1,[set()]
eddard stark,"No, but I'm still better than you.",1,[set()]
robert baratheon,I know what I'm putting you through. Thank you for saying yes. I only ask you because I need you. You're a loyal friend. You hear me? A loyal friend. The last one I've got.,1,"[set(), set(), set(), set(), set(), set(), set()]"
eddard stark,I hope I'll serve you well.,1,[set()]
robert baratheon,"You will. And I'll make sure you don't look so fucking grim all the time. Come on, boys, let's go kill some boar!",1,"[set(), set(), set()]"
bran stark,"Come on, you.",1,[set()]
cersei lannister,Stop. STOP.,1,"[set(), set()]"
jaime lannister,Are you completely mad?,1,[set()]
cersei lannister,He saw us.,1,[set()]
jaime lannister,It's all right. It's all right.,1,"[set(), set()]"
cersei lannister,He saw us!,1,[set()]
jaime lannister,"I heard you the first time. Quite the little climber, aren't you? How old are you, boy?",1,"[set(), set(), set()]"
bran stark,Ten,1,[set()]
jaime lannister,Ten.,1,[set()]
jaime lannister,The things I do for love.,1,[set()]
jorah mormont,"You need to drink, child... And eat.",2,[set()]
daenerys targaryen,Isn't there anything else?,2,[set()]
jorah mormont,The Dothraki have two things in abundance,2,[set()]
doreah,Khaleesi!,2,[{'khaleesi'}]
irri,Your hands.,2,[set()]
jorah mormont,"We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.",2,"[{'pentos'}, {'illyrio'}, set()]"
viserys targaryen,I have no interest in hospitality or comfort. I'll stay with Drogo until he fulfils his end of the bargain and I have my crown.,2,"[set(), {'drogo'}]"
jorah mormont,"As you wish, your Grace.",2,[set()]
viserys targaryen,"Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver?",2,"[{'mormont'}, {'ned'}, set()]"
jorah mormont,Selling to one... Some poachers I caught on my land.,2,"[set(), set()]"
viserys targaryen,"Under my reign, you won't be punished for such nonsense. You can rest assured of that.",2,"[set(), set()]"
joffrey lannister,"Better-looking bitches than you're used to, Uncle. My mother's been looking for you. We ride for King's Landing today.",2,"[{'uncle'}, set(), set()]"
tyrion lannister,"Before you go, you will call on Lord and Lady Stark and offer your sympathies.",2,[{'stark'}]
joffrey lannister,What good will my sympathies do them?,2,[set()]
tyrion lannister,None. But it is expected of you. Your absence has already been noted.,2,"[set(), set(), set()]"
joffrey lannister,The boy means nothing to me. And I can't stand the wailing of women.,2,"[set(), set()]"
tyrion lannister,One word and I'll hit you again.,2,[set()]
joffrey lannister,I'm telling mother!,2,[set()]
tyrion lannister,"Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?",2,"[set(), set(), {'stark'}, set()]"
joffrey lannister,You can't...,2,[set()]
tyrion lannister,Do you understand?,2,[set()]
sandor clegane,"The Prince will remember that, little lord.",2,[set()]
tyrion lannister,"I hope so. If he forgets, be a good dog and remind him. Time for breakfast...",2,"[set(), set(), set()]"
tyrion lannister,"Bread. And two of those little fish. And a mug of dark beer to wash it down. And bacon, burnt black.",2,"[set(), set(), set(), set()]"
jaime lannister,Little brother.,2,[set()]
tyrion lannister,Beloved siblings.,2,[set()]
myrcella baratheon,Is Bran going to die?,2,[{'bran'}]
tyrion lannister,Apparently not.,2,[set()]
cersei lannister,What do you mean?,2,[set()]
tyrion lannister,The Maester says the boy may live.,2,[set()]
cersei lannister,"It's no mercy, letting a child linger in such pain.",2,[set()]
tyrion lannister,Only the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.,2,"[set(), set(), set()]"
cersei lannister,I still can't believe you're going. It's ridiculous even for you.,2,"[set(), set()]"
tyrion lannister,"Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers.",2,"[set(), set()]"
jaime lannister,Tell me you're not thinking of taking the black.,2,[set()]
tyrion lannister,And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.,2,"[set(), set(), set()]"
cersei lannister,The children don't need to hear your filth. Come.,2,"[set(), set()]"
jaime lannister,"Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day.",2,"[set(), set()]"
tyrion lannister,"Speaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say.",2,"[set(), set(), set(), set()]"
jaime lannister,"My dear brother, there are times you make me wonder whose side you're on.",2,[set()]
tyrion lannister,"My dear brother, you wound me. You know how much I love my family.",2,"[set(), set()]"
